,title,description
75,Mafia 3 (PS4),"[""Its 1968 and the rules have changed. After years in Vietnam, Lincoln Clay knows this truth: Family isnt who youre born with, its who you die for. Now back home, in a reimagined New Orleans, Lincoln is set on rebuilding his life, but old ties keep him from leaving the city. It will take more than a few friends to make it in this new world. Intense gun fights, visceral hand-to-hand combat, white knuckle driving and street smarts will all be needed. But with the right crew, tough decisions and some dirty hands, its possible to make it to the top of the city's underworld. Its time to create a new family.""]"
76,The Many Faces of Go,[]
77,Chess School for Beginners,[]
78,Think Like a King Chess Workout Family Package,"[""First Lessons in Chess - a perfect way for reading-aged children grade 3 and up (or their parents!) to get started in chess. First Lessons is for players new to chess, whether young or old. Covering all the basic rules and moves, including chess notation, opening strategy, tactics and common endgame scenarios, this introduction to the Think Like A King learning series contains dozens of animations, challenges and 165 interactive chess puzzles that make learning a snap. Tactical Thinking-Master basic tactical concepts with an interactive tutorial designed to help players recognize strategic and tactical opportunities. From Pins to Forks and Skewers, Undermining to Overworking, basic tactical thinking is clearly defined and demonstrated via interactive puzzles. Simple text explanations and minimal reliance on chess notation make this a perfect teaching tool for beginning students. Checkmate Thinking -apply the tactical lessons learned above and add the next level of thinking (pattern recognition and combination attacks) to pursue the ultimate goal of Checkmate. Over 300 interactive checkmate problems that transform beginners into real chess thinkers!\nEndgame Thinking - Everything may come down to the Endgame, and here's where beginners have the most trouble. A course on the science of the end of the game, endings where clear thinking and careful play are critical. Learn the tactics of Pawn Promotion and the rules that let you create a winning position - or prevent your opponent from gaining one! Opening Thinking - a truly unique learning tool that explores the why and not just the how of opening play. Covering the common openings and variants, with Traps, Zaps and more.""]"
79,Chaturanga - Mother of All War Games,[]
80,Alien Trilogy,"['Over 30 acid encrusted levels, an arsenal of lethal weapons, realistic explosions, blast damage, and audio voice-over! All the gut-churning 3D action of the complete Alien Trilogy in one black-death, white-knuckle nightmare!']"
81,Turok (PC),"['This is one of a handful of classic PC games that really delivered. A powerful first-person shooter style game that includes some incredible battles with the ferocious beasts we have come to know as Dinosaurs. First released back in 1997 this program garnered many awards through leading gamers magazines. This spawned an equally successful, but less critically acclaimed program titled --Turok 2 : Seeds of Evil. Still unsurpassed , this program offers 14 incredible weapons that you can use to hunt down your hunter. A fully interactive environment Where trees crash to the ground. Waterfalls boil with foam. Bullets Ricochet. Bubbles form water rings. Cobwebs move. And SO MUCH MORE! A truly great program that will keep you on the edge of your computer chair.', '', '']"
82,iF/A-18E Carrier Strike Fighter,"[""iMagic labs continues its tradition of high-intensity, high-realsim flight sims. You're in the cockpit of the Super Hornet, the US Navy's successor to the venerable Hornet strike fighter. High speed thrills. Single player, head-to-head and multiplayer LAN options."", '...IF-18 lets players take this new baby out for a spin through training missions, instant action, and dynamic campaigns in the Persian Gulf and the Aegean Sea. The actual gameplay is quite compelling. Dogfights are punctuated with agitated radio calls while dozens of missile trails sear the skies. The avionics are extremely realistic, yet reasonably easy to learn. Carrier landings may be the best ever... -- <i>(Strategy Plus Magazine)</i>']"
83,GoVenture Stock Market Simulation Software,"[""GoVenture Stock Market simulation is a unique software program designed to help youth and adults learn about the Stock Market in a fun and educational manner. Like a flight simulator for investment, GoVenture Stock Market enables you to learn-by-doing without risking your investment dollars. It's easy to use, visual, interactive, and exciting! Unlike any book, course, or seminar, GoVenture Stock Market enables you to gain years of experience in minutes - not weeks or months! Buy and sell in a virtual market. Try your investment skills on your own, against your friends and classmates, or challenge the computerized traders in the simulation. Learn how the market operates. Gain practical experience so you have the confidence to explore the real stock market. More than just buying and selling from a trading account, GoVenture Stock Market allows you to research the companies, follow economic trends, track stock performance, predict how news and rumors will affect stock prices, and survive the unpredictability of the market. Play again and again - every new simulation you run is different! Unlike other stock market games, GoVenture Stock Market is not connected with the real stock market, and instead uses fictitious companies and markets. This offers several benefits for introductory and classroom-based learning. These include Flexible scheduling, designed to educate (not overwhelm), experience economic cycles, flexible learning styles. Plus, run an entire session of GoVenture Stock Market within minutes, or over an extended period of time! Compete against others and against the computer. Use a single computer, or play on multiple computers - over a local network or the Internet. Works with Windows 10/8/7/95/98/2000/ME/XP/Vista/NT4.0 Does not work with Macintosh.""]"
84,GoVenture Entrepreneur Simulation Software,[]
85,Patrick Hruby Memory Game,"['<div>', '', ""All ages will enjoy this timeless game featuring a selection of Patrick Hruby's bold and imaginative illustrations."", ""How to play: For younger children, play with nine pairs or fewer. For a more challenging game, geared toward older children and adults, play with all 36 pairs. Mix and spread cards face down. Players take turns flipping any two cards up. If cards match, play continues. If cards do not match, player's turn ends and cards remain in the same position. When all cards are matched, player with the most pairs wins."", '&#160;', '<DIV>', ""&quot;Sure, this game isn't exactly reading, per se. But acquiring the skills to observe and recall are key in the developmental process, and what better way to cultivate your kid's mental dexterity than with a rousing game of Memory? Patrick Hruby's bold graphics chronicle circus life, the great outdoors, and more.&quot; &mdash;DWELL Magazine"", '&quot;Whether to frame these vividly drawn cards, or play the game, that is the question! The set of 36 features castles, fireworks, daredevils, and more. A mesmerizing version of Concentration.&quot; &mdash;Parent &amp; Child Magazine']"
86,Axis Zombies - Blutfreuz Korps Untertoten Squad,['Axis Zombies - Blutfreuz Korps Untertoten Squad -Model - Dust Tactics.<br>\nAdd the speed and power of the Axis Zombies to your Dust Tactics forces! These nightmarish creatures are one of the most powerful units of the Axis.<br> Allied units are advised to use all available resources against these living corpses as they can destroy both squads of soldiers and powerful walkers in close combat.<br>\nStyle and Color May Vary.<br>\nAges 14+']
87,El Matador,[]
88,World of Mahjongg,"['Experience a vast new 3D world of Mahjongg like never before! Challenge yourself with over 1,000,000 layouts, stunning tile sets and dazzling backgrounds! Create an endless variety of game variations, delightful layouts, and customized tile sets with our easy to use game editors! Enjoy all these features for more Mahjongg fun than ever before!', '', '']"
